0,FID,ogc_fid,no_1,no_2,nama_sppg,nm_ka_sppg,kecamatan,alamat dap,sekolah,alamat,jumlah_sis,jam makan,keterangan,tanggal_op,Latitude SPPG,Longitude SPPG,field_15,geometry,No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,Latitude Sekolah,Longitude Sekolah,<img>
44,database_sppg.45,45,45,7.5.,SPPG Kec. Antapani,Josua Hutagalung,Antapani,"Jl. Sukanagara No.4, Antapani Kidul, Kec. Antapani, Kota Bandung",SMAN 23 BANDUNG,"Jl. Malangbong, Antapani Wetan, Kec. Antapani",1004,11,,13 Januari 2025,-6.92002902,107.6572807,,POINT (107.6572807 -6.92002902),1,20219249,SMAN 23 BANDUNG,JL. MALANGBONG RAYA,Antapani Wetan,NEGERI,26031,SMA,Antapani,"JL. MALANGBONG RAYA, Kel. Antapani Wetan, Kec. Antapani, Kota Bandung, Jawa Barat, Indonesia",id,"-6.913516,107.665296","Jl. Malangbong, Antapani Wetan, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.913516,107.665296,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXHyK54y1GjwDKV9RA95tbz8J8Z8lFKhCjIcC51EVGIWSuOMKMTmmepWJT-BXENqS40wZIt1m70DsFae6rHugxOWvqnf_IN-y6C7MjMghYkAjy1pcDkYEWmtc52qYSB06epYUFAdOP4fiznN7UUmNI2asXq64wgiJV_pgBhkaDiMI6gVVBbid0R9OotU5dy4TnzL0VoJr5i7mZw4XVjQQ8E_9yho7hqQmpIlBOhkxnS-eOAJKxwyx9S-nOSud7z37-nKJxzQscc-25XOP42QNFsZNx8cHQ_ZLt77LIKv6V3WZ_KvqZRjte2MW-6XIm3XYcxjaP9azKdLUTnvb3DdU9A1-g4zTskJn_3JJToS7e-X7ut04vKNRcZ5uX058V2ommtQKt1egXMSx3WkkUoTbwmh8jJypWUKOAqWT98B1vY9wVkTUxuXyilXwjHbpNP7TclhdxqXFCsZnR61tuv4GJMNt0gYnvJ-A8OlrpaReRLiHP6OpjMfQgOuiOAl3MeUU5L9strZM7ssSAN8klR3t5wFgcUggfyW5b9KzvXgDSk-ggqv2nvzQwUla__o7v7xShOQg&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
45,database_sppg.46,46,46,8.1.,SPPG Kec. Arcamanik 01,Dede Anggy Reynaldi,Arcamanik,"Jl Karate No. 1 Arcamanik Endah, Kelurahan Sukamiskin, Kecamatan Arcamanik, Kota Bandung",SDN 004 CISARANTEN KULON,,567,09.00 dan 11.00,,13 Januari 2025,-6.919374485,107.676031,,POINT (107.676031 -6.919374485),13,20245530,SDN 004 CISARANTEN KULON,Jl. Cisaranten Kulon No.129,Cisaranten Kulon,NEGERI,26013,SD,Arcamanik,"Jl. Cisaranten Kulon No.129, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9246991,107.6836757","Jl. Cisaranten Kulon No.129, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9246991,107.6836757,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfV09Z_Ao8x69EoMfnLWuscdewQTNT9sYkMQv2mz7Z2mlQsUVVXGTV_T57dMlamcCGLKCZPnWeA31AK66aW7mg2tm-MwTmPV-t7Yaa7yvSLIEb_9VNGMHsbLATjjAD8YC3KHn_9vNnTOXvGFHApkzDxcsfLuso85R7CU68QIy1udR7P5c3_WJOXFa_6Axx7QCypY5dTAliUJqjDIineyZaVBGnuRSNTCz70SaC2P2onr43X1rX6vfi-t8-EII_eFr2RslsbZTWdwODYzILa5ihZtPRU8uALOh4H4nC_xKaeYgUskWheShY5EF8opAuepmUUPEFjDIPHZbpnJ5lUZsFwn9gOd0gOuDZFGWSWMrdIRbQ_vR1-QLebBQsDuYFozxSl9Q2CTWE3f2jv8hAL2rn83FL8GFWIb7AqCON-c7iDc2WNoH_5mW61Fn6xeEs4KfqLVq69OweYSA3wJOq443tIabegIY1B8w72pATbAjJU4yMFBygh1v0ePDtLbYJ4TBWVJUso5zv-dB8qXS9TWVdLRQAqSqiZhRBh8pZRzYdkBK0G_WYOqmeSfnKiM7m5cw8F721y1j-CWAg&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
46,database_sppg.47,47,47,8.2.,SPPG Kec. Arcamanik 02,Dede Anggy Reynaldi,Arcamanik,"Jl Karate No. 1 Arcamanik Endah, Kelurahan Sukamiskin, Kecamatan Arcamanik, Kota Bandung",SDN 198 MEKARJAYA,,466,09.00 dan 11.00,,13 Januari 2025,-6.919374485,107.676031,,POINT (107.676031 -6.919374485),20,20245715,SDN 198 MEKARJAYA,Jl. Cisaranten Baru N0. 21,Cisaranten Kulon,NEGERI,26013,SD,Arcamanik,"Jl. Cisaranten Baru N0. 21, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9195294,107.6828132","Jl. Cisaranten Baru, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9195294,107.6828132,
47,database_sppg.48,48,48,8.3.,SPPG Kec. Arcamanik 03,Dede Anggy Reynaldi,Arcamanik,"Jl Karate No. 1 Arcamanik Endah, Kelurahan Sukamiskin, Kecamatan Arcamanik, Kota Bandung",SDN 140 ARCAMANIK,,472,09.00 dan 11.00,,13 Januari 2025,-6.919374485,107.676031,,POINT (107.676031 -6.919374485),16,20245447,SDN 140 ARCAMANIK,Jl. Mekarsari No. 2,Sukamiskin,NEGERI,26013,SD,Arcamanik,"Jl. Mekarsari No. 2, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9282622,107.6585568","Jl. Mekarsari Kecamatan No.2, RT.09/RW.17, Babakan Sari, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40283, Indonesia",-6.9282622,107.6585568,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXzJyysjffwGDNCM4d1y1UGRuUxNpgZeKPX_dUz8c6gXKQlBbjCO6NVyZfLIMT2mtWbU2TNMMIcQQE8_Y4Ttb4ubH-R-gyhPBfF7jiP5vNoxec6rhwd-NUvKPNRuG9-a64wY6z4J9piDcbfYPhHPryL5tv3m8oxozPcqDP_X1eVvyhTn8NDb5fFQ7zldzVqOnUiOtW2JSphKoKhxgPVHH3Muii0ncN_GwVngdj5w_vBGtMw-Zp7xerYQIKatTWJBP8DYBCHSbZ1xZ839sDETxcIVzEp2WlnmDcFi5hrJOfvw1UuhkzI2WfIllOxY8X7ZijR66J0vBOHrF9GNf0RKSW0TkpKruesccZoQ5LIY3NTkto7uRVbH1qpu9TY23WI6y2nvedZPitbfSkfqyvfJv31uAxFFiDoiFg1y6CjWtvAgkQOlwoNBIzCSgvePZCj4G-tG3bVwFLti_Bo7r6yVlg3N5PqDjvEvfVzdh7gjWCdM8FWdbtR41XN1NFCwmhp3m8iFiPr28jPLVB5c5l8iRdbAip-RbHCxtxsaoIoX6C6WpkJKTSkBSBj3anDYTL-Vr0DFGUNib-a0A&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
48,database_sppg.49,49,49,8.4.,SPPG Kec. Arcamanik 04,Dede Anggy Reynaldi,Arcamanik,"Jl Karate No. 1 Arcamanik Endah, Kelurahan Sukamiskin, Kecamatan Arcamanik, Kota Bandung",SDN 226 ARCAMANIK ENDAH,,334,9,,13 Januari 2025,-6.919374485,107.676031,,POINT (107.676031 -6.919374485),21,20245448,SDN 226 ARCAMANIK ENDAH,Jl. Olah Raga No. 5,Sukamiskin,NEGERI,26013,SD,Arcamanik,"Jl. Olah Raga No. 5, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.915047299999999,107.6787415","Jl. Olahraga blkng sdn arcamanik endah No.5, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9150473,107.6787415,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfWLYCgkt0BiXdA73jlNd3ljcoGXyiEwzRlRn_UHNAdQXlJVZ36sEZE_n9u8DT_R_pD5GtbQvh_Wv2ASo-Pt4aw_v4ONT66fHbkt14ojtS3ZdHmydWa-eZJFf43qgPFcvhkhFCWLr6RonJwFD-IcLTHzBtP_0LFCHzYWYZXuVmnZJsMHyhsMATE0FUuRVqpkgctdBKKuaz-nFDfuhVzB5BNZdUrzSVy24ynK2467nMcmyFfKGxgfOjWhtbeFT985VSRqdLsRov5gCSm9jPkEbsB7VYOHsTjyksXEyjy7bw6ueqq7z4o&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
49,database_sppg.50,50,50,8.5.,SPPG Kec. Arcamanik 05,Dede Anggy Reynaldi,Arcamanik,"Jl Karate No. 1 Arcamanik Endah, Kelurahan Sukamiskin, Kecamatan Arcamanik, Kota Bandung",SMPN 17 BANDUNG,,1130,9,,13 Januari 2025,-6.919374485,107.676031,,POINT (107.676031 -6.919374485),,,SMPN 17 BANDUNG,,,,,,,,,,,-6.9064577,107.6730172,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVznUf3UwRgf5_mBIH9_hvY4xk8GfSciP2Q1Iq1z9ibegFeWJtS0L-DmJBAyBy9Xg11n_RGEgmZbMfsx4aD1KORY3imuQMOgLCAdD9D-a3ZPoFVzNpEFJCi3LvatZWIqn0M39m8RqKe12JM2ra24WNGLf-HrB4IHD5JNshjOaJyRgW4WNQnyKTXVfNjcXfZ9afvqJ71BpgxpVPJfzFLYGQy3UJYnnJDgo4NWRedcvq7l7Gple6xVkyQWKoaCjdJCphslf4u2j7HLmh0DUvsDWg2UPHfomLYXIs1bWBlYCK1nniCeDqnrQ6DcGOhIK2Uf0CiDWK5VoiaG0wn1BTzlpLb7xgalhh20SLuljSjGs7rXkC25J5A8YAMzCpx-1l9tchYoJmowBOoHuqMEqqjMqU42kr2N4GLU_XGWpikHflGNzxr4OTJaK6AR8YhVjGS7vfaQY10JVU_MxOVfzEnYP_D1FtcRhwcAo2d_Us2ZoZNaqDRSBhowZOiH9GZ3f9LMF5AjHCmyHNeceK2hWVLBWGheL6QJrxeNn0XQatrI7nwUjcFCWKWZz-pTnWqEUKBfFKL_Ltl&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
50,database_sppg.51,51,51,8.6.,SPPG Kec. Arcamanik 06,Dede Anggy Reynaldi,Arcamanik,"Jl Karate No. 1 Arcamanik Endah, Kelurahan Sukamiskin, Kecamatan Arcamanik, Kota Bandung",SDN 269 GRIYA ANTAPANI BARU,,342,09.00 dan 11.00,,13 Januari 2025,-6.919374485,107.676031,,POINT (107.676031 -6.919374485),,,SDN 269 GRIYA ANTAPANI BARU,,,,,,,,,,,-6.917977,107.6655604,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXvRHQoU5mMwf8flf19Ze-d7JPaNFTXrLXVpMeNPWjfvAL0_SPKFuWdXlF7LlbdDCbhZVVRM3LQvAquwpWb2gpAbpZYVwv4QF1_pXMk8Ok2A14cv4uZGDuH0mGJzk79HgjQO5WimjDrnErACztZT3Bp3PmOOe21C0uNIK1GBQ3CajVFAzmidYjTrp_SjMmkuIF_A-M3W559euCkaGzh1ZtR0VybypoKJTY8UDEO6apT9nFbA5g7dv8uSaF97V3sJMQF7FArRgs2H38j5u4vVHr6HDoWKIk1Xf06R06Inl_Kfxgb5FNfnXt4ym-2ihH2YZc1QzKPHO4v4HwXHmb0K-OqoAj9F6yYdJmwWaxTS0sXIC-RYULLkDsU-gCkyDXO7WNnQDN5u3mkMVQ2-AimWNUn2KMaCCB8qQmnifnKCKUUc0w9dRYqXtMbb1Jn8COoEhageKcVeQlhlWx172KG7SiVXSAJ5N_3NUNG32m3qwVu6mG9Tsm3KXV0xPFBUrSU6C2TKG-xkbKDlJtX3C8wrATXn-nyPsBkDubGq5mIV4GTnhtUbKKonfnRt1lFNGf6Jx6Rqw&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
51,database_sppg.52,52,52,9.1.,SPPG Kec. Sukasari 01,Muhammad Ganesh Musyaffa Ariestama,Sukasari,Jl Abadi 1 No 31 Kec Gegerkalong Kel Sukasari Kota Bandung,SMPN 29 BANDUNG,"Jl. Geger Arum No.11B, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",950,11,,13 Januari 2025,-6.863243499,107.5841039,,POINT (107.5841039 -6.863243499),,,SMPN 29 BANDUNG,,,,,,,,,,,-6.8608011,107.5863855,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfULzrm8QFpZ6zEEVALvgVJv_RtSZfi6oK18piRngeySPwW7jpO4Zctxtux8eTAzU2b7uzs0p0rW-fuEKeRdLoqDmIFBdgFLo81JaT5jzNraWrGyiWeFhqIiD29nglR_-4xW5NysyJDxEV_xWD4gJ89XMsIGC36zm354tu_ImJCOZ-dzgCXYXMhLqyL2CAkJ-Fj0DuGEfQa9eDRj4xDLHQvcVsjMjewJwn2RzyUcdFBtFcoobad6oyu0ccfre7dVxwRdWs5dE3M7s4EmBK3owHtwJeWtYP91M8rEfISxWqzX5dkwqCPaWJlUPPNMCz2XSr2J6_3pLlA2Mo8xGOKEvvxnXxdjukcB12kd_92S5B__Ct_HUDNxpeaP5sm-E8QGcSkRZLc1oYQjs1iKqbLTGvOPFERtsk1AfxI_UcOcMNNtTM0qzsDG1-oTYe22xz117PU7p2C3N5EGlpNjIcoEyY2XnUkvEB3MHAogO_uDoX_CBM7KBajVtFT4qxbYStkWvoZg63mJioG7NdQbY_wLhtMnnd_iqi_9_QGycjJ-GqQRzTTwx43rDgMwkb1bT3sNrZhxY9yeA_9oPQ&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
52,database_sppg.53,53,53,9.2.,SPPG Kec. Sukasari 02,Muhammad Ganesh Musyaffa Ariestama,Sukasari,Jl Abadi 1 No 31 Kec Gegerkalong Kel Sukasari Kota Bandung,SDN 212 HARAPAN KOTA BANDUNG,"Jl. Pak Gatot VI, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",344,9,,13 Januari 2025,-6.863243499,107.5841039,,POINT (107.5841039 -6.863243499),,,SDN 212 HARAPAN KOTA BANDUNG,,,,,,,,,,,-6.865498,107.5886196,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfWCWJ4iLnO56wPZpdxHF1r_HCYEFPffbGh1Jc4xCQjT3SD4N2V2jfkWNRMcP9G7g_5UzcfQ3CvR_oOhC_ikHL-Tcr1hkzM7dpb1wAAp7Ta2omLSahZv6MzLxWpqsF_Xb3kPe8YTgwkdWUR6e0iScHCcUASCoMRTpEiuiaEW7svHPBdHi2ElRJRuMLoc63MvuSLuKUpm_VuMO6U07kZNmYxW1tc__ZG5hE5cshSDJHbKjrdVoDrOYYC8D-TKjeFQ-R0i6n4vyEsVdY_XHpZqmSC6UKiWDO4jtmzBBf2VwbJTGC_EPNoudcktej6xnu_Xq6SDX8hT6bYwbSJJh8_GrsXgSvYBwso3ztQbyVYlE4DGnRcwKk-CO9xeRpSVkUNNRJxvKtTSSJjSBIakTXM55w_wdUUQm-r6dxhKKaYLCQrFU9WVoppADzPWM0KBIoog3aJ-KKWEKnxyvk8pwVYnqCrVu3OKxnxlixr8CJuiCKABbNOkrCzkCW7kfyW8_EEMnsFENcsRW3_IzKCnT2j0nmE0yu9wp0zktFL9FwKMBUMrKeXLt7FiEMrydJcw1iIaBl1Y8gBj&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
53,database_sppg.54,54,54,9.3.,SPPG Kec. Sukasari 03,Muhammad Ganesh Musyaffa Ariestama,Sukasari,Jl Abadi 1 No 31 Kec Gegerkalong Kel Sukasari Kota Bandung,SD NEGERI 138 GEGERKALONG GIRANG,"Jl. Geger Arum No.11B, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",499,8.3,,13 Januari 2025,-6.863243499,107.5841039,,POINT (107.5841039 -6.863243499),,,SD NEGERI 138 GEGERKALONG GIRANG,,,,,,,,,,,-6.8608682,107.586515,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfWV20TEKZzK1ex1eyYhF3z-f8OCjMRbxMIM9qJhv-lxZ4D6lL9EFx-Nejzw81UbFLKmcoPEoQYoRcn3OfIKc-qSWnGC3W-lfhgTUPDwBl5-SAgsg4iiQxi94CNUkgdHzsEO-SptwlSGiXaQySAc9PYoEP_j-_t9NSjNy6IytQUfN-SWwQ_ap1HWh_E8R1jPce_8cS0ZeKnjj0pqzC3K695g_V1kmuvnweVB2bCigOvtG851PzN4AuPDVNxW2IENxhX9VY-5mz8CUDnEdIZBX0un-R1XXAeoa6ILvJeY6gD2Uh2Q27FzT1Fms-47kiKRGrt2OmIORRKyy7fIWQU8ZrnggIk1wN9ZIgq4Dw0n1FmAYbGlRqX1ahMzd4EVy593xoBemR1SSnoQUq_4ZX7U4mnXlFhn26mWAxFpchVik5uXFS04q-R5i17FfaEunKnZY29R7q9QrY2Vu5dvnob5DCX59NVSASdjASkNV5XmbNY7LwnarxQexUbSJiliJW83vmN7aG6CHxeYLrnRlRX-6wXtD2fRskh5pL_mYEZWTU8m2azmGCPw_OKMcvxRvrog550ALKQR&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
54,database_sppg.55,55,55,9.4.,SPPG Kec. Sukasari 04,Muhammad Ganesh Musyaffa Ariestama,Sukasari,Jl Abadi 1 No 31 Kec Gegerkalong Kel Sukasari Kota Bandung,SDN 196 SUKARASA BANDUNG,"Jl. Pak Gatot V Blok H No.1, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",589,7.3,,13 Januari 2025,-6.863243499,107.5841039,,POINT (107.5841039 -6.863243499),,,SDN 196 SUKARASA BANDUNG,,,,,,,,,,,-6.8658316,107.5879645,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUWGjXuKklxaeOmVdt5h4vR1L6uui8ksj5uoy63QiDp9QuwaXjsHvYmBGViVkPFrGZfvM9hA-t_mf7wgXzLsbngnQs6CCGlNMycEW-brsWCJ7bwim9aU6PUo1aNH0ODMM6mFbGjG0pqJqNsSxjM_HRKAqIDWmi55oh7D0ZNZ0lsJ20kjm8CNFrTF1VIFw37ZilMP_Eld4UygMh_sZzhX1lAw3_9HoEylEu6Ras-CpCvjkGnHIXOH7Z2kaKiQqWhvibMwXoQTOF65Y5_qZXNbYFbAYqc0eLZBhpR70QMV8ClhgBq9vCDO_GCzur8i7vOGHcAsXcoApUqXr67EvxscApiQpM4aHlYLBbEb3USjkMgp_ACdih_26-bX0fgd03NXSwyOVUXXUjn5yGh8vFGY2NY4_69xU2b3k4L__pg4Zw_RqFpdFaFFFkryPCVkFuwaqgo9A_uMpPqPoWHeUmYNUWyxn2YNUtEhkKwpcfRb5nJQ2rxfB6HdYPpWx5tr2TCwYW1LV_fAl50VjRLyGUahNa-k1bTIcUDof0z55UACA2q1ZBeU-ttpxNxZKlg2Hmoek1MoQNM&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
55,database_sppg.56,56,56,9.5.,SPPG Kec. Sukasari 05,Muhammad Ganesh Musyaffa Ariestama,Sukasari,Jl Abadi 1 No 31 Kec Gegerkalong Kel Sukasari Kota Bandung,SDN 178 GEGERKALONG KPAD KOTA BANDUNG,"Jl. Manunggal, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",510,8,,13 Januari 2025,-6.863243499,107.5841039,,POINT (107.5841039 -6.863243499),,,SDN 178 GEGERKALONG KPAD KOTA BANDUNG,,,,,,,,,,,-6.8667234,107.5839238,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVX2q1vHN7Eb-r8fNaSfNG_Ar4Kxv-7BwZs9WhRvOL9jEnxkbcPFpJB1MppULhbMpi486c69c-JY-ZmC0YnIfaM7ddEv5WA594dTaDKMPrxvPRkcMIg8HFSyvCj95UzEBIjNpvpGBL5xouet9r1Q_ra-jKMRN9zJQfX3CySaGcFZyc2YG5XXOlsSxFzxQh2FltF_9pLjskAjlkqmDjJ9BX47f32yaRG1FqFqBGe63ezUv24Tfn4UqgAwDx6G1SH8UnRnHtqabAeRTHP2JZU16u2OrjVfrWI25ZohDX1Ogdn9A9iqWJFmJO8Hc3mSO3Y5DruZPfyQTkQvxyStwlAwZWtILfkC6t8UOVaGyivWnmfLv4WpjrLdlhGnvyiYigVOfwXhoccf4GeNFU4kKnTb7sU2XbkOcPobHflwL_hKjfPjklVa7UC4AhtQT_SFJv8ZhWuhkeYWjQNOqisb1nEH2Pd-UeNUlf-fpuu1cW-5PuVbmO6l_wm53ffxMJKHTljBw5WloqO_h5PhopHo3_8NvdF-UN9cy0zXLTGGOa9ZRJEaedrQSBFEWZnKDVlRy7wsyPPX5p0&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
56,database_sppg.57,57,57,10.1.,SPPG Kec. Rancasari,Rizki Maulana Permana,Rancasari,"Jalan Merkuri Tengah No. 6, Kelurahan Manjahlega, Kecamatan Rancasari, Kota Bandung",SDN 263 RANCALOA,Jalan Cipamokolan No. 62,1214,08.30 & 11.30,,17 Januari 2025,-6.945037091,107.667289,,POINT (107.667289 -6.945037091),11,20245756,SDN 263 RANCALOA,Jl. Cipamokolan No. 62,Cipamokolan,NEGERI,26010,SD,Rancasari,"Jl. Cipamokolan No. 62, Kel. Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9478162,107.6764676","SDN Rancaloa, Jl. Cipamokolan No.62, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia",-6.9478162,107.6764676,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfV0DMbMTwVXprhA6JRzVI8vCZ2JDI_mvICRievT_o01nowoOZtTuOA5zcln3Ih5C2Taai59r5Uc_kWtElghMExnegkSNGts6w1GsjuG7Yjx76TtTfstC0o3kSu-OASFbclGJZ96RjzvCi5mZXiQhPH9mx02HB7Gv7HvOU3PKxynGgDDEDIG2zmThjn__B_JOUs5QMFLLhEXHRfNaybfKYdiK1Qauv0PkJvJFpEmHSJ0VRxeWImdOAkHJoWPIY8rNa3B7guWCktymQu41k2MCkRpBZQFet21FWjQ2nODmZUGgeGYB9JdY8O0Pn-GrVCuxDtVmX9QVXzx4790Bz9Y6EyvlnAhFMvkjcplYEZ40yEaPaWdz6h_A5eYqlDY21OpyZiANqzICQGkPA_WuQP_JutlX04xPtm2VRg9jNrEXFtYxZINNDFfogHHWYll4NisHZulOYFvvKqSkNIxQzc4wHMQ9B0AikkIA1I75PEj1SdFVATEDzl-s1HSidPVfsNyhVrVQXtzCbiSOPpEzmK-3IxzffUCs3jKyKRhCFgcOkQcsEe6M_1LUhW0TWrTADJAQ4Eiag&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
57,database_sppg.58,58,58,10.2.,SPPG Kec. Rancasari,Rizki Maulana Permana,Rancasari,"Jalan Merkuri Tengah No. 6, Kelurahan Manjahlega, Kecamatan Rancasari, Kota Bandung",SDN 087 RANCABOLANG,Jalan Rancabolang Indah No. 01,749,08.30 & 11.30,,17 Januari 2025,-6.945037091,107.667289,,POINT (107.667289 -6.945037091),8,20246414,SDN 087 RANCABOLANG,Jl. Rancabolang Indah No.1,Manjahlega,NEGERI,26010,SD,Rancasari,"Jl. Rancabolang Indah No.1, Kel. Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9529153,107.6617521","Blk. 1, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat, Indonesia",-6.9529153,107.6617521,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfWzP7n7-okjKq8pu7ZgPB9iNyC2BZWrfjLddArYRLRQ-OgLzd7gaIGbbaSAPzdMF3BkVcupdnKckjaaCg36wWq2rv1GDf2bFd8sjxwpgvL2DQRiLM3hYZ1l4mlepQp-f6hpwYcrytrz-Hh0aElJWbhKgG5JsjfZQ1ISYo9ZPcnbO_QrDdYe_IOFk0X0F_gebnZYMA0sJMkcVjoyGiYht9ie_b9Ni16olFu5H2cWdgNfUroHaLf2XBrwdkX35bgfnoAOZ-oE55DrquWPj33EpTwWv_FbGSxe6JpiCIdkK4mYh2Kz-TeK15PHGajY8NDwS9TkXYiPpZeTnFtaxq8koFbK83SbbP6BOMriEfyqle_weAIt7f1Sn0VpjqQlydXunNTDPlWJB9I9psxBxBGXZG8IG6OK8ENG--9UrtuatVZ0KZIYwpI1F8Nk4hfDIBU9bNbdXvHOU5D6Pp_wWnxi-pMe7vA0Yh4n9ESRaywaVyZJ5_noqbq2mHGQBzHpDspDhDYN3g3lOXMsv6qCWMSwbVox5UjW_8JpCQTUiYgkpfqo0v9dEXI8W13GyRmGY9H2zszs2KDU&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
58,database_sppg.59,59,59,10.3.,SPPG Kec. Rancasari,Rizki Maulana Permana,Rancasari,"Jalan Merkuri Tengah No. 6, Kelurahan Manjahlega, Kecamatan Rancasari, Kota Bandung",SMPN 51 BANDUNG,Jalan Derwati,1089,11.3,,17 Januari 2025,-6.945037091,107.667289,,POINT (107.667289 -6.945037091),,,SMPN 51 BANDUNG,,,,,,,,,,,-6.9646997,107.6801026,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUvpJYdcR5mw1mC4zJjko3h2A8nySnTRcnqJQyoJuck4ZMowSjM_NZqeoxcrE9_Rs51YLjyY_mzluIL3d9Qr853k9ukqQtYGMipPov12erjhXBc1BaWUp7ZT2UIcT5Jj2LWS7_bb1cDUcA27DE-4JO8fpKgQ5an9EcBujRnDNeH7vFAk1jzukpcxC8CeBaYEL_5jD8MAWUtp1F1Uzw-1lY056jplAYEveVKHFzTL3Q6uQzkc8KBG-ud--bJvIdDN42HvEkB76eTdOoDaDdS2laxowCkp_jUITpWA5-bKuoCZCuH16Nyubk3d-kj3v-o-PndxONtmCRdlO0qU_8T2mAPdj8ua8TyVx0Sg_VQTo1uH9OLi9EWABOl_JvzBSnM-ruuKHosGudd6LvN-iECRDnH6mCAad5KIjwHukp6EPSLTcTIfunvWRzuT6WK9w6qkATANi3-yqEdulHqMUV23AOI4625_XJcV_TGsTsxW2WJwwBFPvVOYD57t1GCt8bJBcLOJb3dw_e__4nmSqf012h5kyIn_pCokyDUz73v0Jg2zapWe1N_TbiTXa30Ss-zDFI2EWBQ&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
